2010-02-19,Sertéscomb,898,,1098,,938,,1140,,990,,1300,,,1050,,,1000,,1300,
2010-02-19,Sertéskaraj,998,,1199,,1098,,1559,,1140,,1400,,1200,,1280,,998,,1400,
2010-02-19,Sertéslapocka,898,,1050,,938,,1140,,1060,,1250,,,1020,,,1000,,1300,
2010-02-19,Csirkecomb,399,,599,,618,,895,,600,,650,,599,,749,,580,,960,
2010-02-19,Csirkemell,749,,900,,995,,1280,,800,,1250,,1020,,1100,,799,,1290,
2010-02-19,Marhalábszár,1480,,1590,,1498,,1798,,1600,,1890,,,1650,,,1500,,1800,
2010-02-19,Marhafelsál,1590,,1790,,1598,,1800,,1700,,1980,,,1950,,,1750,,1800,
2010-02-23,Sárgarépa,125,,248,,198,,300,,170,,200,,199,,298,,98,,400,
2010-02-23,Gyökér,200,,980,,498,,900,,480,,680,,498,,880,,98,,700,
2010-02-23,Zeller(csomó),200,,498,,298,,500,,300,,400,,298,,398,,150,,300,
2010-02-23,Burgonya,80,,270,,98,,220,,100,,120,,148,,198,,68,,250,
2010-02-23,Vöröshagyma,98,,198,,168,,300,,128,,200,,168,,198,,148,,200,
2010-02-23,Paradicsom,99,,1280,,448,,1200,,400,,1280,,488,,1100,,98,,1200,
2010-02-23,Paprika,349,,1200,,468,,1000,,700,,980,,498,,999,,298,,900,
2010-02-23,Karfiol,98,,500,,398,,600,,400,,480,,398,,499,,98,,600,
2010-02-23,Karalábé (db),100,,200,,180,,200,,150,,200,,120,,198,,80,,200,
2010-02-23,Fejes káposzta,120,,148,,128,,280,,130,,160,,148,,218,,98,,200,
2010-02-23,Kelkáposzta,198,,340,,348,,400,,200,,280,,248,,298,,198,,400,
2010-02-23,Fejes saláta (db),40,,240,,120,,280,,,200,,,168,,198,,,200,,
2010-02-23,Uborka,148,,780,,698,,750,,680,,780,,680,,780,,298,,900,
2010-02-23,Retek (csomó),30,,148,,50,,200,,100,,120,,138,,248,,20,,160,
2010-02-23,Spenót,280,,1000,,800,,900,,,800,,,648,,880,,580,,1000,
2010-02-23,Zöldbab,1280,,1480,,,,,,,,,,,,,,,,,
2010-02-23,Tök,198,,360,,,,,,300,,360,,,,,,,,,
2010-02-23,Gomba,299,,980,,398,,600,,300,,500,,440,,680,,298,,700,
2010-02-23,Alma,98,,300,,58,,399,,120,,400,,88,,380,,68,,300,
2010-02-23,Körte,198,,780,,298,,780,,980,,1180,,499,,580,,198,,698,
2010-02-23,Szőlő,480,,1400,,780,,1000,,980,,1200,,680,,1380,,398,,1200,
2010-02-23,Földieper,499,,2720,,,,,,1600,,1700,,1499,,1580,,1400,,1520,
2010-02-23,Sárgadinnye,298,,980,,,,,,,800,,,,498,,,398,,800,
2010-02-23,Ringló,980,,998,,,,,,,,,,,,,,500,,1200,
2010-02-23,Citrom,199,,500,,,398,,,300,,480,,,,,,248,,598,
2010-02-23,Narancs,148,,500,,158,,199,,200,,480,,148,,498,,148,,450,
2010-02-23,Mandarin,198,,600,,348,,499,,280,,500,,248,,540,.,198,,600,
2010-02-23,Banán,119,,400,,248,,298,,200,,300,,398,,440,,198,,398,
2010-02-23,Sertéscomb,898,,1098,,938,,1140,,990,,1300,,,1050,,,1000,,1300,
2010-02-23,Sertéskaraj,990,,1199,,1098,,1200,,1140,,1400,,1200,,1280,,1100,,1400,
2010-02-23,Sertéslapocka,898,,1050,,958,,1140,,1060,,1250,,,1020,,,1000,,1300,
